0.54402,-0.83907,-5
0.45754,-0.88919,-4.95
0.36648,-0.93043,-4.9
0.27176,-0.96236,-4.85
0.17433,-0.98469,-4.8
0.075151,-0.99717,-4.75
-0.024775,-0.99969,-4.7
-0.12445,-0.99223,-4.65
-0.22289,-0.97484,-4.6
-0.3191,-0.94772,-4.55
-0.41212,-0.91113,-4.5
-0.50102,-0.86544,-4.45
-0.58492,-0.81109,-4.4
-0.66297,-0.74865,-4.35
-0.7344,-0.67872,-4.3
-0.79849,-0.60201,-4.25
-0.8546,-0.51929,-4.2
-0.90217,-0.43138,-4.15
-0.94073,-0.33915,-4.1
-0.96989,-0.24354,-4.05
-0.98936,-0.1455,-4
-0.99894,-0.046002,-3.95
-0.99854,0.053955,-3.9
-0.98817,0.15337,-3.85
-0.96792,0.25126,-3.8
-0.938,0.34664,-3.75
-0.89871,0.43855,-3.7
-0.85044,0.52608,-3.65
-0.79367,0.60835,-3.6
-0.72897,0.68455,-3.55
-0.65699,0.7539,-3.5
-0.57844,0.81573,-3.45
-0.49411,0.8694,-3.4
-0.40485,0.91438,-3.35
-0.31154,0.95023,-3.3
-0.21512,0.97659,-3.25
-0.11655,0.99318,-3.2
-0.016814,0.99986,-3.15
0.083089,0.99654,-3.1
0.18216,0.98327,-3.05
0.27942,0.96017,-3
0.37388,0.92748,-2.95
0.4646,0.88552,-2.9
0.55069,0.83471,-2.85
0.63127,0.77557,-2.8
0.70554,0.70867,-2.75
0.77276,0.63469,-2.7
0.83227,0.55437,-2.65
0.88345,0.46852,-2.6
0.92581,0.37798,-2.55
0.95892,0.28366,-2.5
0.98245,0.18651,-2.45
0.99616,0.087499,-2.4
0.99992,-0.012389,-2.35
0.99369,-0.11215,-2.3
0.97753,-0.2108,-2.25
0.9516,-0.30733,-2.2
0.91617,-0.4008,-2.15
0.87158,-0.49026,-2.1
0.81828,-0.57482,-2.05
0.7568,-0.65364,-2
0.68777,-0.72593,-1.95
0.61186,-0.79097,-1.9
0.52984,-0.8481,-1.85
0.44252,-0.89676,-1.8
0.35078,-0.93646,-1.75
0.25554,-0.9668,-1.7
0.15775,-0.98748,-1.65
0.058374,-0.99829,-1.6
-0.041581,-0.99914,-1.55
-0.14112,-0.98999,-1.5
-0.23925,-0.97096,-1.45
-0.33499,-0.94222,-1.4
-0.42738,-0.90407,-1.35
-0.5155,-0.85689,-1.3
-0.59847,-0.80114,-1.25
-0.67546,-0.73739,-1.2
-0.74571,-0.66628,-1.15
-0.8085,-0.5885,-1.1
-0.86321,-0.50485,-1.05
-0.9093,-0.41615,-1
-0.9463,-0.32329,-0.95
-0.97385,-0.2272,-0.9
-0.99166,-0.12884,-0.85
-0.99957,-0.0292,-0.8
-0.99749,0.070737,-0.75
-0.98545,0.16997,-0.7
-0.96356,0.2675,-0.65
-0.93204,0.36236,-0.6
-0.89121,0.4536,-0.55
-0.84147,0.5403,-0.5
-0.78333,0.62161,-0.45
-0.71736,0.69671,-0.4
-0.64422,0.76484,-0.35
-0.56464,0.82534,-0.3
-0.47943,0.87758,-0.25
-0.38942,0.92106,-0.2
-0.29552,0.95534,-0.15
-0.19867,0.98007,-0.1
-0.099833,0.995,-0.05
0,1,0
0.099833,0.995,0.05
0.19867,0.98007,0.1
0.29552,0.95534,0.15
0.38942,0.92106,0.2
0.47943,0.87758,0.25
0.56464,0.82534,0.3
0.64422,0.76484,0.35
0.71736,0.69671,0.4
0.78333,0.62161,0.45
0.84147,0.5403,0.5
0.89121,0.4536,0.55
0.93204,0.36236,0.6
0.96356,0.2675,0.65
0.98545,0.16997,0.7
0.99749,0.070737,0.75
0.99957,-0.0292,0.8
0.99166,-0.12884,0.85
0.97385,-0.2272,0.9
0.9463,-0.32329,0.95
0.9093,-0.41615,1
0.86321,-0.50485,1.05
0.8085,-0.5885,1.1
0.74571,-0.66628,1.15
0.67546,-0.73739,1.2
0.59847,-0.80114,1.25
0.5155,-0.85689,1.3
0.42738,-0.90407,1.35
0.33499,-0.94222,1.4
0.23925,-0.97096,1.45
0.14112,-0.98999,1.5
0.041581,-0.99914,1.55
-0.058374,-0.99829,1.6
-0.15775,-0.98748,1.65
-0.25554,-0.9668,1.7
-0.35078,-0.93646,1.75
-0.44252,-0.89676,1.8
-0.52984,-0.8481,1.85
-0.61186,-0.79097,1.9
-0.68777,-0.72593,1.95
-0.7568,-0.65364,2
-0.81828,-0.57482,2.05
-0.87158,-0.49026,2.1
-0.91617,-0.4008,2.15
-0.9516,-0.30733,2.2
-0.97753,-0.2108,2.25
-0.99369,-0.11215,2.3
-0.99992,-0.012389,2.35
-0.99616,0.087499,2.4
-0.98245,0.18651,2.45
-0.95892,0.28366,2.5
-0.92581,0.37798,2.55
-0.88345,0.46852,2.6
-0.83227,0.55437,2.65
-0.77276,0.63469,2.7
-0.70554,0.70867,2.75
-0.63127,0.77557,2.8
-0.55069,0.83471,2.85
-0.4646,0.88552,2.9
-0.37388,0.92748,2.95
-0.27942,0.96017,3
-0.18216,0.98327,3.05
-0.083089,0.99654,3.1
0.016814,0.99986,3.15
0.11655,0.99318,3.2
0.21512,0.97659,3.25
0.31154,0.95023,3.3
0.40485,0.91438,3.35
0.49411,0.8694,3.4
0.57844,0.81573,3.45
0.65699,0.7539,3.5
0.72897,0.68455,3.55
0.79367,0.60835,3.6
0.85044,0.52608,3.65
0.89871,0.43855,3.7
0.938,0.34664,3.75
0.96792,0.25126,3.8
0.98817,0.15337,3.85
0.99854,0.053955,3.9
0.99894,-0.046002,3.95
0.98936,-0.1455,4
0.96989,-0.24354,4.05
0.94073,-0.33915,4.1
0.90217,-0.43138,4.15
0.8546,-0.51929,4.2
0.79849,-0.60201,4.25
0.7344,-0.67872,4.3
0.66297,-0.74865,4.35
0.58492,-0.81109,4.4
0.50102,-0.86544,4.45
0.41212,-0.91113,4.5
0.3191,-0.94772,4.55
0.22289,-0.97484,4.6
0.12445,-0.99223,4.65
0.024775,-0.99969,4.7
-0.075151,-0.99717,4.75
-0.17433,-0.98469,4.8
-0.27176,-0.96236,4.85
-0.36648,-0.93043,4.9
-0.45754,-0.88919,4.95
-0.54402,-0.83907,5
