11.728,-0.64836,-5,2.3026+3.1416i,-23
11.771,-0.51455,-4.95,2.2925+3.1416i,-22.7
11.817,-0.39388,-4.9,2.2824+3.1416i,-22.4
11.864,-0.28239,-4.85,2.2721+3.1416i,-22.1
11.913,-0.17704,-4.8,2.2618+3.1416i,-21.8
11.962,-0.075364,-4.75,2.2513+3.1416i,-21.5
12.012,0.024783,-4.7,2.2407+3.1416i,-21.2
12.062,0.12543,-4.65,2.23+3.1416i,-20.9
12.111,0.22864,-4.6,2.2192+3.1416i,-20.6
12.16,0.3367,-4.55,2.2083+3.1416i,-20.3
12.206,0.45232,-4.5,2.1972+3.1416i,-20
12.251,0.57892,-4.45,2.1861+3.1416i,-19.7
12.292,0.72115,-4.4,2.1748+3.1416i,-19.4
12.331,0.88556,-4.35,2.1633+3.1416i,-19.1
12.367,1.082,-4.3,2.1518+3.1416i,-18.8
12.399,1.3264,-4.25,2.1401+3.1416i,-18.5
12.427,1.6457,-4.2,2.1282+3.1416i,-18.2
12.451,2.0914,-4.15,2.1163+3.1416i,-17.9
12.47,2.7737,-4.1,2.1041+3.1416i,-17.6
12.485,3.9824,-4.05,2.0919+3.1416i,-17.3
12.495,6.7997,-4,2.0794+3.1416i,-17
12.499,21.715,-3.95,2.0669+3.1416i,-16.7
12.499,-18.507,-3.9,2.0541+3.1416i,-16.4
12.494,-6.4429,-3.85,2.0412+3.1416i,-16.1
12.484,-3.8523,-3.8,2.0281+3.1416i,-15.8
12.469,-2.706,-3.75,2.0149+3.1416i,-15.5
12.449,-2.0493,-3.7,2.0015+3.1416i,-15.2
12.425,-1.6166,-3.65,1.9879+3.1416i,-14.9
12.397,-1.3046,-3.6,1.9741+3.1416i,-14.6
12.364,-1.0649,-3.55,1.9601+3.1416i,-14.3
12.328,-0.87145,-3.5,1.9459+3.1416i,-14
12.289,-0.70911,-3.45,1.9315+3.1416i,-13.7
12.247,-0.56834,-3.4,1.9169+3.1416i,-13.4
12.202,-0.44276,-3.35,1.9021+3.1416i,-13.1
12.156,-0.32786,-3.3,1.8871+3.1416i,-12.8
12.108,-0.22028,-3.25,1.8718+3.1416i,-12.5
12.058,-0.11735,-3.2,1.8563+3.1416i,-12.2
12.008,-0.016816,-3.15,1.8405+3.1416i,-11.9
11.958,0.083378,-3.1,1.8245+3.1416i,-11.6
11.909,0.18526,-3.05,1.8083+3.1416i,-11.3
11.86,0.29101,-3,1.7918+3.1416i,-11
11.813,0.40311,-2.95,1.775+3.1416i,-10.7
11.768,0.52467,-2.9,1.7579+3.1416i,-10.4
